Year,SB,Network,Viewers (Millions),Rating,30s Ad Cost
2026,LX,NBC,124.9,43.1,"$8,000,000 "
2025,LIX,Fox,127.7,41.7,"$8,000,000 "
2024,LVIII,CBS,123.7,43.5,"$7,000,000 "
2023,LVII,Fox,115.1,40.7,"$7,000,000 "
2022,LVI,NBC,101.5,37.9,"$6,500,000 "
2021,LV,CBS,95.9,38.2,"$5,500,000 "
2020,LIV,Fox,102.1,41.6,"$5,600,000 "
2019,LIII,CBS,98.5,41.1,"$5,200,000 "
2018,LII,NBC,103.4,43.1,"$5,235,000 "
2017,LI,Fox,111.3,45.3,"$5,000,000 "
2016,L,CBS,111.9,46.6,"$4,800,000 "
2015,XLIX,NBC,114.4,47.5,"$4,250,000 "
2014,XLVIII,Fox,112.2,46.7,"$4,000,000 "
2013,XLVII,CBS,108.7,46.4,"$3,700,000 "
2012,XLVI,NBC,111.3,47,"$3,500,000 "
2011,XLV,Fox,111,46,"$3,000,000 "
2010,XLIV,CBS,106.5,45,"$2,800,000 "
2009,XLIII,NBC,98.7,42,"$3,000,000 "
2008,XLII,Fox,97.5,43.1,"$2,700,000 "
2007,XLI,CBS,93.1,42.6,"$2,385,000 "
2006,XL,ABC,90.7,41.6,"$2,500,000 "
2005,XXXIX,Fox,86.1,41.1,"$2,400,000 "
2004,XXXVIII,CBS,89.8,41.4,"$2,302,000 "
2003,XXXVII,ABC,88.6,40.7,"$2,200,000 "
2002,XXXVI,Fox,86.8,40.4,"$2,200,000 "
2001,XXXV,CBS,84.3,40.4,"$2,100,000 "
2000,XXXIV,ABC,88.5,43.3,"$2,100,000 "
1999,XXXIII,Fox,83.7,40.2,"$1,600,000 "
1998,XXXII,NBC,90,44.5,"$1,291,000 "
1997,XXXI,Fox,87.9,43.3,"$1,200,000 "
1996,XXX,NBC,94.1,46,"$1,085,000 "
1995,XXIX,ABC,83.4,41.3,"$1,150,000 "
1994,XXVIII,NBC,90,45.5,"$900,000 "
1993,XXVII,NBC,91,45.1,"$850,000 "
1992,XXVI,CBS,79.6,40.3,"$850,000 "
1991,XXV,ABC,79.5,41.9,"$800,000 "
1990,XXIV,CBS,73.9,39,"$700,000 "
1989,XXIII,NBC,81.6,43.5,"$675,000 "
1988,XXII,ABC,80.1,41.9,"$645,000 "
1987,XXI,CBS,87.2,45.8,"$600,000 "
1986,XX,NBC,92.6,48.3,"$550,000 "
1985,XIX,ABC,85.5,46.4,"$525,000 "
1984,XVIII,CBS,77.6,46.4,"$368,000 "
1983,XVII,NBC,81.8,48.6,"$400,000 "
1982,XVI,CBS,85.2,49.1,"$324,000 "
1981,XV,NBC,68.3,44.4,"$275,000 "
1980,XIV,CBS,76.2,46.3,"$222,000 "
1979,XIII,NBC,74.7,47.1,"$185,000 "
1978,XII,CBS,78.9,47.2,"$162,000 "
1977,XI,NBC,62.1,44.4,"$125,000 "
1976,X,CBS,57.7,42.3,"$110,000 "
1975,IX,NBC,56.1,42.4,"$107,000 "
1974,VIII,CBS,51.7,41.6,"$103,000 "
1973,VII,NBC,53.3,42.7,"$88,000 "
1972,VI,CBS,56.6,44.2,"$86,000 "
1971,V,NBC,46,39.9,"$72,000 "
1970,IV,CBS,44.3,39.4,"$78,000 "
1969,III,NBC,41.7,36,"$55,000 "
1968,II,CBS,39.1,36.8,"$54,000 "
1967,I,CBS/NBC,51.2,41.1,"$37,500 "
